Dimension,Sub-Dimension,AgentOps Current,Multica,Paperclip,Golutra,CrewAI,AutoGen,AgentOps Target,Gap Severity,Effort,Score (1-5),Score Rationale
CLI Adapters,Provider count,1 (generic),12 (hard-coded),0,7 (hard-coded),N/A,N/A,5+ (dynamic registry),Critical,Medium,4,4 adapters with dynamic registry; exceeds Golutra (7) in flexibility despite fewer absolute count
CLI Adapters,Dynamic loading,Yes (classPath),No,No,No,N/A,N/A,Yes,Maintain,-,5,Only system with runtime plugin loading via classPath + SQLite persistence
CLI Adapters,Auto-detection,No,Yes (PATH scan),No,No,N/A,N/A,Yes,High,Low,5,cli-scanner.js detects 5 known CLIs; matches Multica capability
CLI Adapters,Session resumption,No,9/12 providers,No,Unknown,Partial,Yes,Yes,High,Medium,4,Claude adapter supports --resume; Codex/Gemini lack native resume
CLI Adapters,MCP support,No,Claude only,No,Via golutra-mcp,No,No,Yes (Claude),Medium,Medium,4,Claude adapter has dedicated --mcp-config injection; matches Multica
CLI Adapters,Stdout format parsing,__AGENT_OUTPUT__ marker,Per-provider,Stream-json,Per-provider,Structured messages,Structured messages,Per-provider + marker fallback,Medium,Medium,4,ClaudeCodeStreamParser for Claude; LineDelimitedJsonParser for others
CLI Adapters,Interactive prompt injection,No,No,No,Yes (stdin write),No,No,Yes,Medium,Medium,3,sendInput() implemented but CLI -p mode limits stdin interaction
CLI Adapters,Health check,Yes (which),Unknown,No,No,No,No,Yes,Maintain,-,5,Per-provider: claude --version, codex --version, gemini which
CLI Adapters,Hot-reload,Yes (load/unload),No,No,No,No,No,Yes,Maintain,-,5,Runtime load/unload without restart; unique capability
CLI Adapters,Persistence (SQLite),Yes,No (config file),No,No (config file),No,No,Yes,Maintain,-,5,adapter_configs table; survives restarts
Team/Squad,Squad as assignee,No (grouping only),Yes,No,No,N/A,N/A,Yes,Critical,Medium,5,squad_id as valid assignee for goals/tasks/dag_tasks (migration v21)
Team/Squad,Leader delegation,No,Yes (@mention),No,No,Yes (hierarchical),Yes (selector),Yes,Critical,High,5,Leader-only spawn + MessageBus delegate + member-result feedback loop
Team/Squad,Squad-level instructions,No,Yes,No,No,Yes (crew rules),Yes (group chat rules),Yes,High,Low,5,instructions TEXT column + AGENT_SQUAD_INSTRUCTIONS env injection
Team/Squad,Member roles (rich),member/leader enum,Free-text descriptions,No,No,role+goal+backstory,system message,Free-text + enum,Medium,Low,4,member/leader role enum + free-text instructions per squad
Team/Squad,Trigger rules (event-driven),No,Yes,No,No,No,No,Yes,Medium,High,5,3 event types: member_complete/error/all_complete with configurable actions
Team/Squad,Multi-squad membership,No,Yes,No,No,N/A,N/A,Yes,Medium,Low,3,Agent can belong to multiple squads; no cross-squad coordination
Team/Squad,Intelligent routing,No,Yes (leader decides),No,Yes (manager),Yes,Yes,Yes,High,High,4,Leader decides delegation via MessageBus; no LLM-based routing yet
Team/Squad,Batch start/stop,Yes,No (via leader),No,No,No,No,Yes,Maintain,-,5,batchStart/batchStop + aggregated status
Team/Squad,Aggregated status,Yes,No,No,No,No,No,Yes,Maintain,-,5,getAggregatedStatus() across all members
Communication,Result relay,Yes (task_handoffs),Via issue comments,Via goals,Via session,Task delegation,Message objects,Yes,Maintain,-,5,task_handoffs table + __AGENT_OUTPUT__ marker + TASK_INPUT env
Communication,Pub/sub (MessageBus),Yes,No,No,No,No,No,Yes,Maintain,-,5,Topic wildcards (*, **), request/reply, back-pressure, crash recovery
Communication,Agent-to-agent messaging,No,Via @mention comments,No,No,Task delegation,Direct messages,Yes,High,High,4,SocketBusServer with NDJSON protocol + squad namespace isolation
Communication,Shared conversation context,No,Via issue thread,No,No,Memory systems,Conversation history,Yes,Critical,High,3,Shared Context key-value store; no full conversation history
Communication,Group chat,Yes (GroupChatEngine),Issue comments,No,No,No,Core paradigm,Yes,Maintain,-,3,group-chat-engine.js: round-robin + human-assign strategies, conversation history, max-turns limit, pause/resume
Communication,Shared memory/state,No,Workspace files,No,Memory layer,Memory systems,State objects,Yes,Medium,High,4,SharedContext with DAG-scoped key-value + updated_by tracking
Communication,Request/reply,Yes (MessageBus),No,No,No,No,No,Yes,Maintain,-,5,Correlation IDs + configurable timeout; unique among competitors
Communication,Streaming to agents,No,No,No,Yes (stdin),Async kickoff,run_stream(),Yes,Medium,Medium,3,sendInput() exists but CLI -p mode limits streaming
Communication,Human-in-the-loop,Yes (governance),Via comments,No,No,Yes,Yes,Yes,Maintain,-,5,Budget enforcement + RBAC + approval gates; most comprehensive
