Category,Sub-Dimension,AgentOps Current,Multica,Paperclip,Golutra,CrewAI,AutoGen,AgentOps Target,Gap Severity,Effort
CLI Adapters,Provider count,1 (generic),12 (hard-coded),0,7 (hard-coded),N/A,N/A,5+ (dynamic registry),Critical,Medium
CLI Adapters,Dynamic loading,Yes (classPath),No,No,No,N/A,N/A,Yes,Maintain,-
CLI Adapters,Auto-detection,No,Yes (PATH scan),No,No,N/A,N/A,Yes,High,Low
CLI Adapters,Session resumption,No,9/12 providers,No,Unknown,Partial,Yes,Yes,High,Medium
CLI Adapters,MCP support,No,Claude only,No,Via golutra-mcp,No,No,Yes (Claude),Medium,Medium
CLI Adapters,Stdout format parsing,__AGENT_OUTPUT__ marker,Per-provider,Stream-json,Per-provider,Structured messages,Structured messages,Per-provider + marker fallback,Medium,Medium
CLI Adapters,Interactive prompt injection,No,No,No,Yes (stdin write),No,No,Yes,Medium,Medium
CLI Adapters,Health check,Yes (which),Unknown,No,No,No,No,Yes,Maintain,-
CLI Adapters,Hot-reload,Yes (load/unload),No,No,No,No,No,Yes,Maintain,-
CLI Adapters,Persistence (SQLite),Yes,No (config file),No,No (config file),No,No,Yes,Maintain,-
Team/Squad,Squad as assignee,No (grouping only),Yes,No,No,N/A,N/A,Yes,Critical,Medium
Team/Squad,Leader delegation,No,Yes (@mention),No,No,Yes (hierarchical),Yes (selector),Yes,Critical,High
Team/Squad,Squad-level instructions,No,Yes,No,No,Yes (crew rules),Yes (group chat rules),Yes,High,Low
Team/Squad,Member roles (rich),member/leader enum,Free-text descriptions,No,No,role+goal+backstory,system message,Free-text + enum,Medium,Low
Team/Squad,Trigger rules (event-driven),No,Yes,No,No,No,No,Yes,Medium,High
Team/Squad,Multi-squad membership,No,Yes,No,No,N/A,N/A,Yes,Medium,Low
Team/Squad,Intelligent routing,No,Yes (leader decides),No,Yes (manager),Yes,Yes,Yes,High,High
Team/Squad,Batch start/stop,Yes,No (via leader),No,No,No,No,Yes,Maintain,-
Team/Squad,Aggregated status,Yes,No,No,No,No,No,Yes,Maintain,-
Communication,Result relay,Yes (task_handoffs),Via issue comments,Via goals,Via session,Task delegation,Message objects,Yes,Maintain,-
Communication,Pub/sub (MessageBus),Yes,No,No,No,No,No,Yes,Maintain,-
Communication,Agent-to-agent messaging,No,Via @mention comments,No,No,Task delegation,Direct messages,Yes,High,High
Communication,Shared conversation context,No,Via issue thread,No,No,Memory systems,Conversation history,Yes,Critical,High
Communication,Group chat,No,Issue comments,No,No,No,Core paradigm,Yes,High,High
